,,,,,,a,b
0.550580449,0.550675602,0.550580449,0.550580449,0.550580449,,0.55059948,39
0.565436732,0.550675602,0.550580449,0.565436732,0.550580449,,0.556541993,40
0.565436732,0.550675602,0.550580449,0.565436732,0.550580449,,0.556541993,41
0.565436732,0.565472667,0.550580449,0.565436732,0.550580449,,0.559501406,42
0.565436732,0.565472667,0.565436732,0.565436732,0.565436732,,0.565443919,43
0.570976282,0.565472667,0.565436732,0.570976282,0.565436732,,0.567659739,44
0.570976282,0.565472667,0.565436732,0.570976282,0.565436732,,0.567659739,45
0.570976282,0.57098951,0.565436732,0.570976282,0.565436732,,0.568763108,46
0.570976282,0.57098951,0.570976282,0.570976282,0.565436732,,0.569871018,47
0.573005869,0.57098951,0.570976282,0.573005869,0.570976282,,0.571790762,48
0.573005869,0.57098951,0.570976282,0.573005869,0.570976282,,0.571790762,49
0.573005869,0.573010693,0.570976282,0.573005869,0.570976282,,0.572194999,50
0.573005869,0.573010693,0.573005869,0.573005869,0.570976282,,0.572600916,51
0.573744673,0.573010693,0.573005869,0.573005869,0.570976282,,0.572748677,52
0.573744673,0.573010693,0.573005869,0.573744673,0.570976282,,0.572896438,53
0.573744673,0.573746426,0.573005869,0.573744673,0.570976282,,0.573043585,54
0.573744673,0.573746426,0.573744673,0.573744673,0.570976282,,0.573191345,55
0.574012976,0.573746426,0.573744673,0.573744673,0.573005869,,0.573650924,56
0.574012976,0.573746426,0.573744673,0.574012976,0.573005869,,0.573704584,57
0.574012976,0.573746426,0.573744673,0.574012976,0.573005869,,0.573704584,58
0.574012976,0.574013612,0.573744673,0.574012976,0.573005869,,0.573758021,59
0.574012976,0.574013612,0.574012976,0.574012976,0.573744673,,0.573959443,60
0.574110329,0.574013612,0.574012976,0.574110329,0.573744673,,0.573998384,61
0.574110329,0.574013612,0.574012976,0.574110329,0.573744673,,0.573998384,62
0.574110329,0.57411056,0.574012976,0.574110329,0.573744673,,0.574017774,63
0.574110329,0.57411056,0.574110329,0.574110329,0.574012976,,0.574090905,64
0.574145642,0.57411056,0.574110329,0.574145642,0.574012976,,0.57410503,65
0.574145642,0.57411056,0.574110329,0.574145642,0.574012976,,0.57410503,66
0.574145642,0.574145726,0.574110329,0.574145642,0.574012976,,0.574112063,67
0.574145642,0.574145726,0.574145642,0.574145642,0.574012976,,0.574119126,68
0.57415845,0.574145726,0.574145642,0.574145642,0.574012976,,0.574121687,69
0.57415845,0.574145726,0.574145642,0.57415845,0.574110329,,0.57414372,70
0.57415845,0.574145726,0.574145642,0.57415845,0.574110329,,0.57414372,71
0.57415845,0.574158481,0.57415845,0.57415845,0.574110329,,0.574148832,72
0.574163095,0.574158481,0.57415845,0.57415845,0.574110329,,0.574149761,73
0.574163095,0.574158481,0.57415845,0.574163095,0.574110329,,0.57415069,74
0.574163095,0.574158481,0.57415845,0.574163095,0.574110329,,0.57415069,75
0.574163095,0.574163106,0.57415845,0.574163095,0.574110329,,0.574151615,76
0.57416478,0.574163106,0.574163095,0.574163095,0.574145642,,0.574159944,77
0.57416478,0.574163106,0.574163095,0.574163095,0.574145642,,0.574159944,78
0.57416478,0.574163106,0.574163095,0.57416478,0.574145642,,0.574160281,79
0.57416478,0.574163106,0.574163095,0.57416478,0.574145642,,0.574160281,80
0.57416478,0.145949739,0.145949738,0.57416478,0.145948995,,0.317235606,81
