,,,,,,,,,,,a,b
0.390815084,0.436485369,0.477768366,0.436485369,0.477768366,0.477768366,0.477768366,0.477768366,0.477768366,0.477768366,,0.460816438,26
0.440288925,0.440288925,0.477768366,0.440288925,0.477768366,0.477768366,0.477768366,0.511647269,0.477768366,0.477768366,,0.469912424,27
0.440288925,0.480889755,0.480889755,0.480889755,0.480889755,0.480889755,0.480889755,0.511647269,0.480889755,0.480889755,,0.479905423,28
0.44402963,0.480889755,0.514208836,0.480889755,0.514208836,0.480889755,0.514208836,0.514208836,0.514208836,0.514208836,,0.497195191,29
0.483959565,0.483959565,0.514208836,0.483959565,0.514208836,0.483959565,0.514208836,0.541552143,0.514208836,0.514208836,,0.504843458,30
0.483959565,0.516728076,0.516728076,0.516728076,0.516728076,0.516728076,0.516728076,0.541552143,0.516728076,0.516728076,,0.515933632,31
0.486978649,0.516728076,0.543619557,0.516728076,0.543619557,0.516728076,0.543619557,0.543619557,0.543619557,0.543619557,,0.529888022,32
0.519205688,0.519205688,0.543619557,0.519205688,0.543619557,0.519205688,0.543619557,0.543619557,0.543619557,0.543619557,,0.533854009,33
0.519205688,0.519205688,0.545652809,0.519205688,0.545652809,0.545652809,0.545652809,0.545652809,0.545652809,0.545652809,,0.537718672,34
0.521642359,0.521642359,0.56735664,0.521642359,0.545652809,0.545652809,0.56735664,0.56735664,0.56735664,0.56735664,,0.549301589,35
0.547652463,0.547652463,0.568997656,0.521642359,0.545652809,0.547652463,0.568997656,0.568997656,0.568997656,0.568997656,,0.555524084,36
0.549619074,0.549619074,0.156408448,0.521642359,0.547652463,0.568997656,0.156408448,0.156408448,0.156408448,0.156408448,,0.351957287,37
0.143500388,0.549619074,0.164840044,0.524038766,0.568997656,0.570611556,0.164840044,0.164840044,0.164840044,0.164840044,,0.318096766,38
0.152145279,0.549619074,0.164840044,0.549619074,0.570611556,0.157483466,0.164840044,0.164840044,0.164840044,0.164840044,,0.280367867,39
-0.385816664,0.551553189,0.164840044,0.551553189,0.570611556,0.165897298,0.164840044,0.164840044,0.164840044,0.164840044,,0.227799879,40
-0.368425245,0.144788701,0.173132315,0.144788701,0.570611556,-0.381099763,0.173132315,0.173132315,0.173132315,0.173132315,,0.097632552,41
-0.579430328,0.153412303,-0.378618174,0.153412303,0.572198787,-0.363786287,0.173132315,0.173132315,-0.378618174,0.173132315,,-0.030203263,42
-0.558839603,0.153412303,-0.361345705,0.153412303,0.572198787,-0.363786287,0.173132315,0.173132315,-0.361345705,0.173132315,,-0.024689696,43
-0.558839603,0.153412303,-0.361345705,0.153412303,0.572198787,-0.363786287,0.181287563,0.181287563,-0.361345705,0.181287563,,-0.022243122,44
-0.558839603,0.161893408,-0.361345705,0.161893408,0.573759791,-0.346758903,0.181287563,0.181287563,-0.361345705,0.181287563,,-0.018688062,45
-0.538589124,0.161893408,-0.344358649,0.161893408,0.573759791,-0.346758903,0.181287563,0.181287563,-0.344358649,0.181287563,,-0.013265603,46
-0.538589124,0.161893408,-0.344358649,0.161893408,0.573759791,-0.346758903,0.189308052,0.189308052,-0.344358649,0.189308052,,-0.010859456,47
-0.538589124,0.17023437,-0.344358649,0.17023437,0.575295,-0.330012882,0.189308052,0.189308052,-0.344358649,0.189308052,,-0.007363141,48
-0.518673267,-0.379612161,-0.32765229,0.17023437,0.575295,-0.330012882,0.189308052,0.189308052,-0.32765229,0.189308052,,-0.057014936,49
-0.518673267,-0.362323267,-0.56750414,0.17023437,0.575295,-0.330012882,0.197196009,0.197196009,-0.32765229,0.197196009,,-0.076904845,50
-0.518673267,-0.362323267,-0.547110486,0.178437504,0.576804842,-0.313543575,0.197196009,-0.3703644,-0.32765229,0.197196009,,-0.129003292,51
-0.499086502,-0.362323267,-0.547110486,0.178437504,0.576804842,-0.313543575,0.197196009,-0.353228318,-0.31122199,0.197196009,,-0.123687977,52
-0.499086502,-0.345320057,-0.547110486,0.178437504,0.576804842,-0.313543575,0.204953624,-0.353228318,-0.31122199,0.204953624,,-0.120436133,53
