,,,,,,,,,,,a,b
-0.526466808,-0.41993891,-0.042480296,-0.393296735,-0.046525021,-0.02324641,-0.046525021,0.090745992,0.090745992,0.090745992,,-0.122624122,26
-0.526466808,-0.40198365,-0.042480296,-0.375781714,-0.046525021,-0.02324641,-0.046525021,0.090745992,-0.050637704,-0.050637704,,-0.147353834,27
-0.526466808,-0.40198365,-0.030762228,-0.375781714,-0.034740117,-0.011846165,-0.034740117,0.090745992,-0.038784842,-0.038784842,,-0.140314449,28
-0.506751262,-0.40198365,-0.030762228,-0.375781714,-0.034740117,-0.411060871,-0.034740117,0.100262606,-0.038784842,-0.038784842,,-0.177312704,29
-0.506751262,-0.384325085,-0.030762228,-0.358556115,-0.034740117,-0.393252313,-0.034740117,0.100262606,-0.038784842,-0.038784842,,-0.172043431,30
-0.506751262,-0.384325085,-0.019237791,-0.358556115,-0.023149949,-0.393252313,-0.023149949,0.100262606,-0.027127838,-0.027127838,,-0.166241553,31
-0.487361499,-0.384325085,-0.019237791,-0.358556115,-0.023149949,-0.393252313,-0.023149949,0.109621966,-0.027127838,-0.027127838,,-0.163366641,32
-0.487361499,-0.366958314,-0.019237791,-0.341615155,-0.023149949,-0.375738026,-0.023149949,-0.035285246,-0.027127838,-0.027127838,,-0.17267516,33
-0.487361499,-0.577488364,-0.007903786,-0.5699475,-0.011751298,-0.375738026,-0.011751298,-0.02368607,-0.015663456,-0.015663456,,-0.209695475,34
-0.468292136,-0.556929729,-0.007903786,-0.549513472,-0.41102384,-0.375738026,-0.011751298,-0.02368607,-0.015663456,-0.015663456,,-0.243616527,35
-0.468292136,-0.556929729,0.003242934,-0.632911857,-0.41102384,-0.358513149,-0.000541001,-0.012278561,-0.004388514,-0.004388514,,-0.244602437,36
-0.449537879,-0.536710808,0.003242934,-0.632911857,-0.393215894,-0.358513149,-0.000541001,-0.012278561,-0.004388514,-0.004388514,,-0.238924324,37
-0.449537879,-0.629223085,0.014205464,-0.611437395,-0.393215894,-0.341572899,0.010484055,-0.001059551,0.006700119,0.006700119,,-0.238795695,38
-0.43109352,-0.629223085,-0.400891752,-0.611437395,-0.375702209,-0.341572899,-0.402344385,-0.406850372,-0.403821425,-0.403821425,,-0.440675847,39
-0.43109352,-0.607809577,-0.400891752,-0.59031778,-0.379344213,-0.324912572,-0.402344385,-0.406850372,-0.403821425,-0.403821425,,-0.435120702,40
-0.412953939,-0.607809577,-0.38325123,-0.59031778,-0.379344213,-0.324912572,-0.38467986,-0.389111389,-0.386132492,-0.386132492,,-0.424464554,41
-0.412953939,-0.586749909,-0.38325123,-0.56954715,-0.362059747,-0.308527544,-0.38820949,-0.39258555,-0.386132492,-0.389643941,,-0.417966099,42
-0.395114099,-0.593415372,-0.365902204,-0.577647411,-0.202317664,-0.560102272,-0.38820949,-0.39258555,-0.368735855,-0.389643941,,-0.423367386,43
-0.588425479,-0.593415372,-0.369666875,-0.577647411,-0.202317664,-0.560102272,-0.370778533,-0.375082281,-0.372465057,-0.37218928,,-0.438209022,44
